en,br,es
Welcome to Your Vue.js App,"Welcome to Your Vue.js App"": ""Bem vindo ao seu App Vue.js",Bienvenido a su aplicación Vue.js
For a guide and recipes on how to configure / customize this project,Para um guia e receitas de como configurar / customizar esse projeto,Para obtener una guía y recetas sobre cómo configurar / personalizar este proyecto 
check out the,verifique a,revisar la 
vue-cli documentation,documentação do vue-cli,documentación de vue-cli 
Installed CLI Plugins,Plugins do Cli instalados,Complementos CLI instalados 
Essential Links,Links essenciais,Enlaces esenciales 
Core Docs,Documentos Básicos,Documentos básicos
Forum,Fórum,Foro
Community Chat,Chat da Comunidade,Chat de la comunidad 
News,Notícias,Notícias
Ecosystem,Ecossistema,Ecosistema 
